E:\data\IMG\center_2019_02_23_20_34_38_855.jpg, E:\data\IMG\left_2019_02_23_20_34_38_855.jpg, E:\data\IMG\right_2019_02_23_20_34_38_855.jpg, 0, 0, 0, 7.824367E-05
E:\data\IMG\center_2019_02_23_20_34_38_962.jpg, E:\data\IMG\left_2019_02_23_20_34_38_962.jpg, E:\data\IMG\right_2019_02_23_20_34_38_962.jpg, 0, 0, 0, 7.928642E-05
E:\data\IMG\center_2019_02_23_20_34_39_062.jpg, E:\data\IMG\left_2019_02_23_20_34_39_062.jpg, E:\data\IMG\right_2019_02_23_20_34_39_062.jpg, 0, 0, 0, 7.838311E-05
E:\data\IMG\center_2019_02_23_20_34_39_163.jpg, E:\data\IMG\left_2019_02_23_20_34_39_163.jpg, E:\data\IMG\right_2019_02_23_20_34_39_163.jpg, 0, 0, 0, 8.202298E-05
E:\data\IMG\center_2019_02_23_20_34_39_273.jpg, E:\data\IMG\left_2019_02_23_20_34_39_273.jpg, E:\data\IMG\right_2019_02_23_20_34_39_273.jpg, 0, 0, 0, 7.796613E-05
E:\data\IMG\center_2019_02_23_20_34_39_380.jpg, E:\data\IMG\left_2019_02_23_20_34_39_380.jpg, E:\data\IMG\right_2019_02_23_20_34_39_380.jpg, 0, 0, 0, 8.133116E-05
E:\data\IMG\center_2019_02_23_20_34_39_481.jpg, E:\data\IMG\left_2019_02_23_20_34_39_481.jpg, E:\data\IMG\right_2019_02_23_20_34_39_481.jpg, 0, 0, 0, 7.852713E-05
E:\data\IMG\center_2019_02_23_20_34_39_584.jpg, E:\data\IMG\left_2019_02_23_20_34_39_584.jpg, E:\data\IMG\right_2019_02_23_20_34_39_584.jpg, 0, 0.08313995, 0, 0.01618534
E:\data\IMG\center_2019_02_23_20_34_39_684.jpg, E:\data\IMG\left_2019_02_23_20_34_39_684.jpg, E:\data\IMG\right_2019_02_23_20_34_39_684.jpg, 0, 0.3910365, 0, 0.3475026
E:\data\IMG\center_2019_02_23_20_34_39_786.jpg, E:\data\IMG\left_2019_02_23_20_34_39_786.jpg, E:\data\IMG\right_2019_02_23_20_34_39_786.jpg, -0.08277181, 0.6932513, 0, 1.03837
E:\data\IMG\center_2019_02_23_20_34_39_887.jpg, E:\data\IMG\left_2019_02_23_20_34_39_887.jpg, E:\data\IMG\right_2019_02_23_20_34_39_887.jpg, -0.3848483, 0.9953278, 0, 2.092772
E:\data\IMG\center_2019_02_23_20_34_39_992.jpg, E:\data\IMG\left_2019_02_23_20_34_39_992.jpg, E:\data\IMG\right_2019_02_23_20_34_39_992.jpg, -0.3417803, 1, 0, 3.250215
E:\data\IMG\center_2019_02_23_20_34_40_094.jpg, E:\data\IMG\left_2019_02_23_20_34_40_094.jpg, E:\data\IMG\right_2019_02_23_20_34_40_094.jpg, -0.005087137, 1, 0, 4.65742
E:\data\IMG\center_2019_02_23_20_34_40_196.jpg, E:\data\IMG\left_2019_02_23_20_34_40_196.jpg, E:\data\IMG\right_2019_02_23_20_34_40_196.jpg, 0, 1, 0, 5.815944
E:\data\IMG\center_2019_02_23_20_34_40_299.jpg, E:\data\IMG\left_2019_02_23_20_34_40_299.jpg, E:\data\IMG\right_2019_02_23_20_34_40_299.jpg, -0.08389661, 1, 0, 6.962873
